dayofweek,bookinghour,item_status,Location,TotalBookings
Thursday,12,NO_TAKER,2.9321452101.6381552,1
Thursday,12,CANCELLED_BY_PASSENGER,2.9321452101.6381552,1
Thursday,20,CANCELLED_BY_PASSENGER,2.9132232101.6420437,1
Thursday,1,NO_TAKER,2.9247997101.6368912,1
Thursday,19,NO_TAKER,2.92514101.6375,1
Thursday,16,CANCELLED_BY_PASSENGER,2.9247997101.6368912,1
Thursday,13,NO_TAKER,2.9243564101.6329105,1
Thursday,10,CANCELLED_BY_PASSENGER,2.94971935475917101.657126910728,3
Thursday,19,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,59
Thursday,13,CANCELLED_BY_PASSENGER,2.9695833053795315101.7114763483564,1
Thursday,18,CANCELLED_BY_PASSENGER,3.1533951101.6023434,1
Thursday,22,NO_TAKER,3.0732742078838089101.60758137702942,11
Saturday,23,CANCELLED_BY_DRIVER,3.0439324101.5858961,1
Saturday,23,CANCELLED_BY_PASSENGER,3.23103150690078101.724214503472,1
Saturday,20,CANCELLED_BY_PASSENGER,3.2278415101.650543,1
Saturday,0,CANCELLED_BY_PASSENGER,2.7556609101.7053921,1
Saturday,4,CANCELLED_BY_PASSENGER,2.8725091101.6495988,1
Saturday,20,CANCELLED_BY_PASSENGER,2.9871288101.6779526,1
Saturday,22,CANCELLED_BY_PASSENGER,3.024908101.811235,1
Saturday,18,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,21
Saturday,6,CANCELLED_BY_PASSENGER,2.9778391101.7217812,1
Saturday,19,CANCELLED_BY_PASSENGER,3.0732742078838089101.60758137702942,5
